NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
09002,Acerola juice raw,0.0,0.4,23.0,94.3
09001,Acerola (west indian cherry) raw,0.0,0.4,32.0,91.41
14006,Alcoholic beverage beer light,0.0,0.24,29.0,94.88
14007,Alcoholic beverage beer light BUD LIGHT,0.0,0.25,29.0,95.0
14005,Alcoholic beverage beer light BUDWEISER SELECT,0.0,0.2,28.0,95.3
14248,Alcoholic beverage beer light higher alcohol,0.0,0.25,46.0,92.88
14013,Alcoholic beverage beer light low carb,0.0,0.17,27.0,95.4
14003,Alcoholic beverage beer regular all,0.0,0.46,43.0,91.96
14004,Alcoholic beverage beer regular BUDWEISER,0.0,0.36,41.0,92.77
14034,Alcoholic beverage creme de menthe 72 proof,--,0.0,371.0,28.3
14009,Alcoholic beverage daiquiri canned,--,0.0,125.0,74.6
14010,Alcoholic beverage daiquiri prepared-from-recipe,0.0,0.06,186.0,69.74
14533,Alcoholic beverage distilled all (gin rum vodka whiskey) 100 proof,--,0.0,295.0,57.5
14037,Alcoholic beverage distilled all (gin rum vodka whiskey) 80 proof,--,0.0,231.0,66.6
14550,Alcoholic beverage distilled all (gin rum vodka whiskey) 86 proof,--,0.0,250.0,63.9
14551,Alcoholic beverage distilled all (gin rum vodka whiskey) 90 proof,--,0.0,263.0,62.1
14532,Alcoholic beverage distilled all (gin rum vodka whiskey) 94 proof,--,0.0,275.0,60.3
14049,Alcoholic beverage distilled gin 90 proof,--,0.0,263.0,62.1
14050,Alcoholic beverage distilled rum 80 proof,--,0.0,231.0,66.6
14051,Alcoholic beverage distilled vodka 80 proof,--,0.0,231.0,66.6
14052,Alcoholic beverage distilled whiskey 86 proof,--,0.0,250.0,63.9
14415,Alcoholic beverage liqueur coffee with cream 34 proof,58.0,2.8,327.0,46.5
14414,Alcoholic beverage liqueur coffee 53 proof,0.0,0.1,336.0,31.0
14534,Alcoholic beverage liqueur coffee 63 proof,0.0,0.1,308.0,41.4
14239,Alcoholic beverage malt beer hard lemonade,--,0.0,68.0,85.74
14015,Alcoholic beverage pina colada canned,0.0,0.6,237.0,54.9
14017,Alcoholic beverage pina colada prepared-from-recipe,0.0,0.42,174.0,64.99
43479,Alcoholic beverage rice (sake),0.0,0.5,134.0,78.4
14019,Alcoholic beverage tequila sunrise canned,0.0,0.3,110.0,78.8
14531,Alcoholic beverage whiskey sour,--,0.0,149.0,72.6
14027,Alcoholic beverage whiskey sour canned,--,0.0,119.0,76.9
14029,Alcoholic beverage whiskey sour prepared from item 14028,0.0,0.06,153.0,72.44
14025,Alcoholic beverage whiskey sour prepared with water whiskey and powder mix,0.0,0.1,164.0,69.15
43154,Alcoholic beverage wine cooking,0.0,0.5,50.0,88.9
14536,Alcoholic beverage wine dessert dry,0.0,0.2,152.0,72.53
14057,Alcoholic beverage wine dessert sweet,0.0,0.2,160.0,70.51
43155,Alcoholic beverage wine light,0.0,0.07,49.0,92.23
14084,Alcoholic beverage wine table all,0.0,0.07,83.0,86.58
14096,Alcoholic beverage wine table red,0.0,0.07,85.0,86.49
14106,Alcoholic beverage wine table white,0.0,0.07,82.0,86.86
14251,Alcoholic beverages beer higher alcohol,0.0,0.9,58.0,91.0
14253,Alcoholic beverages wine rose,0.0,0.36,83.0,86.4
11001,Alfalfa seeds sprouted raw,0.0,3.99,23.0,92.82
20001,Amaranth grain uncooked,0.0,13.56,371.0,11.29
11700,Amaranth leaves cooked boiled drained with salt,0.0,2.11,21.0,91.49
11004,Amaranth leaves cooked boiled drained without salt,0.0,2.11,21.0,91.49
11003,Amaranth leaves raw,0.0,2.46,23.0,91.69
04609,Animal fat bacon grease,95.0,0.0,897.0,--
09400,Apple juice canned or bottled unsweetened with added ascorbic acid,0.0,0.1,46.0,88.24
09517,Apple juice canned or bottled unsweetened with added ascorbic acid calcium and potassium,0.0,0.12,48.0,87.92
09016,Apple juice canned or bottled unsweetened without added ascorbic acid,0.0,0.1,46.0,88.24
09018,Apple juice frozen concentrate unsweetened diluted with 3 volume water without added ascorbic acid,0.0,0.14,47.0,87.9
09411,Apple juice frozen concentrate unsweetened diluted with 3 volume water with added ascorbic acid,0.0,0.14,47.0,87.9
09410,Apple juice frozen concentrate unsweetened undiluted with added ascorbic acid,0.0,0.51,166.0,57.0
09017,Apple juice frozen concentrate unsweetened undiluted without added ascorbic acid,0.0,0.51,166.0,57.0
36000,APPLEBEE'S 9 oz house sirloin steak,79.0,26.85,189.0,61.88
36023,APPLEBEE'S chicken tenders platter,52.0,19.62,297.0,43.38
36005,APPLEBEE'S chicken tenders from kids' menu,51.0,19.25,296.0,43.42
36019,APPLEBEE'S chili,45.0,12.56,157.0,71.31
36021,APPLEBEE'S coleslaw,2.0,0.79,120.0,78.15
36001,APPLEBEE'S Double Crunch Shrimp,86.0,12.31,323.0,40.12
36018,APPLEBEE'S fish hand battered,34.0,13.23,202.0,58.82
36002,APPLEBEE'S french fries,1.0,3.31,290.0,41.29
36003,APPLEBEE'S KRAFT Macaroni &amp Cheese from kid's menu,7.0,5.01,143.0,68.28
36004,APPLEBEE'S mozzarella sticks,33.0,14.87,316.0,40.65
09008,Apples canned sweetened sliced drained heated,0.0,0.18,67.0,82.28
09007,Apples canned sweetened sliced drained unheated,0.0,0.18,67.0,82.36
09010,Apples dehydrated (low moisture) sulfured stewed,0.0,0.28,74.0,79.36
09009,Apples dehydrated (low moisture) sulfured uncooked,0.0,1.32,346.0,3.0
09013,Apples dried sulfured stewed with added sugar,0.0,0.2,83.0,78.76
09012,Apples dried sulfured stewed without added sugar,0.0,0.22,57.0,84.13
09011,Apples dried sulfured uncooked,0.0,0.93,243.0,31.76
09015,Apples frozen unsweetened heated,0.0,0.29,47.0,87.16
09014,Apples frozen unsweetened unheated,0.0,0.28,48.0,86.85
09003,Apples raw with skin,0.0,0.26,52.0,85.56
09004,Apples raw without skin,0.0,0.27,48.0,86.67
09005,Apples raw without skin cooked boiled,0.0,0.26,53.0,85.47
09006,Apples raw without skin cooked microwave,0.0,0.28,56.0,84.63
09402,Applesauce canned sweetened with salt,0.0,0.18,76.0,79.58
09020,Applesauce canned sweetened without salt (includes USDA commodity),0.0,0.16,68.0,81.98
09401,Applesauce canned unsweetened with added ascorbic acid,0.0,0.17,42.0,88.22
09019,Applesauce canned unsweetened without added ascorbic acid (includes USDA commodity),0.0,0.17,42.0,88.22
09403,Apricot nectar canned with added ascorbic acid,0.0,0.37,56.0,84.87
09036,Apricot nectar canned without added ascorbic acid,0.0,0.37,56.0,84.87
09029,Apricots canned extra heavy syrup pack without skin solids and liquids,0.0,0.55,96.0,74.33
09025,Apricots canned extra light syrup pack with skin solids and liquids,0.0,0.6,49.0,86.3
09027,Apricots canned heavy syrup pack with skin solids and liquids,0.0,0.53,83.0,77.56
09028,Apricots canned heavy syrup pack without skin solids and liquids,0.0,0.51,83.0,77.66
09357,Apricots canned heavy syrup drained,0.0,0.64,83.0,77.56
09024,Apricots canned juice pack with skin solids and liquids,0.0,0.63,48.0,86.62
09026,Apricots canned light syrup pack with skin solids and liquids,0.0,0.53,63.0,82.56
09022,Apricots canned water pack with skin solids and liquids,0.0,0.71,27.0,92.36
09023,Apricots canned water pack without skin solids and liquids,0.0,0.69,22.0,93.43
09031,Apricots dehydrated (low-moisture) sulfured stewed,0.0,1.93,126.0,63.6
09030,Apricots dehydrated (low-moisture) sulfured uncooked,0.0,4.9,320.0,7.5
09034,Apricots dried sulfured stewed with added sugar,0.0,1.17,113.0,68.45
09033,Apricots dried sulfured stewed without added sugar,0.0,1.2,85.0,75.56
